FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Precious Achiuwa,Tor,F,22.13,10,23.2,48.4,20.2,11.6,20,0.55,78,0.385,12,0.167,0.367,0.39,7.7,8.7,20.1,1.4,8.7,0.5,0.3,1.3,7.8,88.8,95.1
Steven Adams,Mem,C,28.3,9,25.7,53.5,14.5,15.1,17,0.941,60,0.533,0,0,0.533,0.593,8.9,8.8,18.4,2.8,15.4,0.78,0.44,1.33,9.4,127.5,104
Bam Adebayo,Mia,C-F,24.3,7,31.4,65.4,26.9,15.9,47,0.851,96,0.51,0,0,0.51,0.591,19.7,12.9,21.3,1.9,9.6,1,0.57,3.14,10,111,90.9
Santi Aldama,Mem,F-C,20.82,3,7.1,14.9,26.2,0,3,0.667,6,0.5,6,0.167,0.375,0.413,3.7,1.7,12.6,0,0,0,0,0,0,97.2,98.8
LaMarcus Aldridge,Bro,C-F,36.3,8,19.9,41.4,22.9,8.6,17,0.706,60,0.7,7,0.286,0.672,0.685,12.8,4.9,12.7,0.5,4.7,0.25,1.25,0.88,6.3,127.8,96
Nickeil Alexander-Walker,Nor,G,23.18,10,31.3,65.2,22.5,8.9,11,0.818,73,0.438,76,0.263,0.416,0.432,13.3,4.8,8.1,2.6,13.3,1.2,0.6,1.5,7,92.1,109.9
Grayson Allen,Mil,G,26.08,9,28.6,59.5,17.9,3.7,12,0.917,22,0.5,77,0.403,0.581,0.604,14,4.3,7.8,1.3,7.1,0.67,0.44,0.44,6,122.7,106.9
Jarrett Allen,Cle,C,23.55,10,32.3,67.3,15.6,12.9,40,0.625,81,0.728,3,0.333,0.72,0.719,14.6,11.1,18.2,1.4,7,1.2,1,1.5,7.6,132.6,100
Jose Alvarado,Nor,G,23.57,2,3.5,7.2,24.2,0,0,0,2,0.5,2,0.5,0.625,0.625,2.5,0,0,0.5,29,0.5,0,0,0,0,0
Kyle Anderson,Mem,F-G,28.13,9,21.9,45.7,17,8.8,8,0.875,47,0.362,22,0.409,0.442,0.469,7.6,5.4,13.4,2.3,15,0.89,0.56,0.78,8.3,106.3,101.6
