Name,GP,PPGPointsPoints per game,RPGReboundsRebounds per game,APGAssistsAssists per game
 Achiuwa,10,7.7,8.7,1.4
 Adams,9,8.9,8.8,2.8
 Adebayo,7,19.7,12.9,1.9
 Aldama,3,3.7,1.7,0
 Aldridge,8,12.8,4.9,0.5
 Alexander-Walker,10,13.3,4.8,2.6
 Allen,9,14,4.3,1.3
 Allen,10,14.6,11.1,1.4
 Alvarado,2,2.5,0,0.5
 Anderson,9,7.6,5.4,2.3
 Antetokounmpo,9,27.1,10.3,6.1
 Antetokounmpo,9,5.4,5.2,1.4
 Anthony,9,17,3.9,1
 Anthony,10,18.9,7.5,5.5
 Anunoby,10,20.6,5.7,2.8
 Augustin,8,3.8,0.4,1.6
 Avdija,9,5.9,5,1.2
 Ayayi,1,0,0,0
 Ayton,6,14.2,11.3,1.2
 Bagley III,1,2,4,0
 Ball,10,19.9,5.7,7
 Ball,8,12.4,5.6,4.4
 Bamba,10,11.7,9,1.9
 Bane,9,16.7,3.7,2.1
 Banton,10,5.3,2.3,1.1
 Barnes,9,22.2,9.6,2.6
 Barnes,8,17.6,8.9,2.3
 Barrett,9,19.2,5.8,2.7
 Barton,8,15.3,4.1,4.1
 Bassey,3,1.3,0.7,0
 Bates-Diop,8,3.6,3.3,0.1
 Batum,7,10.1,6.4,1.6
 Bazemore,9,6.8,2.2,1.3
 Bazley,8,11.1,6.3,1.4
 Beal,8,23.5,5.4,5.1
 Beasley,8,10.9,2.4,1.9
 Bembry,8,4.6,2.3,0.6
 Bertans,7,6.1,1.7,0.6
 Beverley,6,7.7,4.7,5.2
 Bey,9,13.1,6.8,3
 Birch,10,6.3,5.9,1.5
 Bitadze,7,3,2.6,0.3
 Bjelica,8,7,5.4,2
 Bledsoe,8,8.5,3.4,4.3
 Bogdanovic,8,17.5,4.6,1.3
 Bogdanovic,9,11.2,4,2.4
 Bol,2,3,1.5,0.5
 Bolmaro,3,0.7,0.7,0
 Bonga,3,0.7,0.7,0.7
 Booker,7,22.6,5.7,5.3
 Boston Jr.,2,1.5,0.5,0.5
 Boucher,10,5.1,3.8,0.2
 Bouknight,4,0,0.3,0
 Bradley,8,4.9,1.8,0.5
 Bradley,5,2,3,0
 Brazdeikis,6,1.2,1.3,0.5
 Bridges,10,22.7,7.7,3.1
 Bridges,7,16.3,3.7,1.3
 Brissett,7,4.4,2.6,0.4
 Brogdon,6,22.3,7.2,7
 Brooks,6,3.7,0.7,0.3
 Brown III,5,2.4,2.2,0.8
 Brown Jr.,6,3.8,1.5,0.3
 Brown,8,8,3.6,0.5
 Brown,8,25.6,6.1,2.5
 Brown,4,1.5,1.3,0
 Brown,6,2.2,3.2,0.8
 Brunson,8,15,5.3,4.3
 Bullock,8,6.1,2.3,0.6
 Burke,3,5.3,0.7,1.3
 Burks,9,7.2,2.8,1.9
 Butler,8,1.5,0.8,0.8
 Butler,8,24.4,6.5,5.1
 Caldwell-Pope,9,9.8,4.3,1.8
 Campazzo,8,3.4,2.4,1.9
 Capela,9,10.6,11.2,0.8
 Carey Jr.,1,0,1,0
 Carter Jr.,10,12.9,10.2,2.2
 Carter,9,1.6,2,1.2
 Caruso,8,8,2.3,4.1
 Cauley-Stein,8,1.8,2.9,0.6
 Champagnie,4,0.5,1.5,0.3
 Chiozza,2,3,1.5,1
 Christopher,5,2.6,0.8,0.6
 Clarke,6,4.5,2.8,0.8
 Clarkson,8,16.4,3.3,1.6
 Claxton,4,6.5,5.5,0.8
 Coffey,6,2.5,1.2,0.3
 Collins,9,14.9,9.1,2.8
 Conley,7,15.9,1.9,4.4
 Connaughton,9,10.3,4.8,1.7
 Cooper,2,0,0,1
 Cornelie,1,0,0,0
 Covington,9,6.3,5.2,0.4
 Craig,10,6.8,3.7,1.2
 Crowder,7,7.7,5.4,1.9
 Culver,2,3.5,1.5,1
 Cunningham,4,10.8,5.8,2.8
 Curry,9,17.8,3,1.9
 Curry,8,25.8,7,6.8
 Davis,9,25.4,11.9,2.9
 Davis,2,0,0.5,0
 Davis,7,3.4,1.4,0.9
 Deck,3,3.7,0.7,0.3
 Dedmon,8,6.3,6.3,0.5
 Dekker,1,0,0,0
 DeRozan,8,27,6.1,3.6
 Diallo,6,4.3,1.8,0.7
 Dieng,9,3,5.8,1
 Dinwiddie,8,17.1,4.8,5.9
 Doncic,8,23.9,8.3,7.1
 Dort,7,12.4,3.6,2.3
 Dosunmu,7,4.3,1.9,1
 Dowtin,1,0,1,0
 Dozier,8,4.4,2.4,1.4
 Dragic,4,6,2.5,1.5
 Drummond,8,6.3,9.4,2.6
 Duarte,10,16.1,4.4,2.4
 Durant,9,28.3,8.8,5.2
 Edwards,8,23,6.5,3.4
 Elleby,5,1.4,1.4,0.2
 Embiid,8,20.4,8.8,4.1
 Eubanks,9,4.4,3.9,1.2
 Fall,1,0,2,0
 Favors,7,6.9,6,0.3
 Fernando,3,0,0,0.3
 Finney-Smith,8,7.9,5.6,1.1
 Fitts,3,0,0.7,0
 Flynn,6,1.3,0.5,0.8
 Forbes,9,5.1,0.8,0.3
 Forrest,4,1,1,0.8
 Fournier,9,15.3,3,2.1
 Fox,9,18.2,4.1,6.7
 Gafford,7,8.6,4.1,0.6
 Gallinari,6,7.3,3.5,0.5
 Garland,8,15.4,2.3,7.9
 Garrett,2,0,0,1
 Garuba,4,1,2,1
 Garza,5,3.2,1.2,0.2
 George,8,28.1,8.1,4.9
 Gibson,5,4.6,4,0.8
 Giddey,8,10.5,6,6.1
 Gilgeous-Alexander,8,23.5,4.9,3.9
 Gobert,8,15.4,17.3,1.3
 Gordon,8,12.6,6.1,1.6
 Gordon,7,14,1.7,1.6
 Graham,10,16.5,3.1,5.2
 Grant,8,16.6,5,2.5
 Green,7,6.6,2.7,0.7
 Green,8,8.6,8.8,6.9
 Green,8,5.3,3.9,0.5
 Green,8,14.8,3.6,3.3
 Green,8,4.4,2.5,0.4
 Green,8,6.5,1.6,1
 Green,5,0.4,2,0.4
 Griffin,8,6.1,5.1,1.5
 Grimes,3,1,0,0
 Haliburton,9,13.2,3.6,5.4
 Hampton,10,7.3,2.9,1.7
 Hardaway Jr.,8,15,3.4,2
 Harden,9,17.7,7.4,9
 Harkless,8,5.5,3.8,0.6
 Harrell,9,18,9.7,1.9
 Harris,5,5.6,1.8,1.8
 Harris,9,11.3,4.3,1
 Harris,6,19.8,9,4.2
 Hartenstein,7,5.7,5.6,1.1
 Hart,6,10.3,6,2.2
 Haslem,2,1,1,0
 Hayes,9,5.4,3.6,0.2
 Hayes,8,6.3,2.8,2.9
 Hayward,10,18.1,4.7,3.6
 Henry,1,0,0,0
 Hernangomez,5,1.2,1,0
 Hernangomez,2,4,2,1
 Herro,8,20.4,6.3,4
 Hield,9,17.8,5.4,1.8
 Hill,9,7.8,3.8,3.2
 Hill,3,2,2.3,1.3
 Holiday,9,5.7,1.9,1.6
 Holiday,3,12.7,3,3
 Holiday,10,8.9,2.9,1.8
 Holmes,9,15.9,11,1.8
 Hood,6,4.2,2.2,0.8
 Horford,7,13.4,10.1,3.3
 House Jr.,3,3.3,3,1
 Howard,7,4,4,0.4
 Howard,2,0,0,0
 Huerter,8,6.4,2.8,2
 Hughes,3,0.7,0.3,0
 Hunter,8,13,2.6,0.6
 Hutchison,1,2,2,0
 Hyland,5,7.6,1.4,2.2
 Iguodala,7,3.7,4.7,3.9
 Ingles,8,9.6,3.3,2.4
 Ingram,6,25,7.3,4.8
 Jackson Jr.,9,13.6,5.8,1.3
 Jackson,9,6.9,1.6,0.4
 Jackson,2,1.5,2,0
 Jackson,9,8.6,3.8,1.9
 Jackson,8,16.8,3.9,4.1
 James,6,24.8,5.5,7
 Jarreau,1,0,0,0
 Jerome,5,5,1.4,1.8
 Joe,7,2,0.4,0.3
 Johnson,5,3.2,2.8,0.6
 Johnson,7,7.6,2.6,0.7
 Johnson,1,0,0,0
 Johnson,5,1.2,1.2,0.6
 Johnson,4,3.5,0.8,0
 Johnson,9,15.6,5.8,2
 Jokic,8,25.1,13.4,5.6
 Jones Jr.,4,4.3,2,0
 Jones,8,6,2.3,1.6
 Jones,3,0,0,0
 Jones,8,2.9,0.6,0.9
 Jones,9,7.1,2.4,3.4
 Jordan,9,5.1,5.4,0.6
 Joseph,9,6.9,1.3,3.3
 Kalaitzakis,5,1.6,1,0
 Kaminsky,3,7,2.7,1
 Kanter,2,2,2,0
 Kennard,8,11.1,3.4,2
 Kispert,8,2.1,1.9,0.9
 Kleber,6,7.2,5.3,0.5
 Knight,2,1,1,0
 Knox II,2,0.5,1,0.5
 Konchar,8,2.1,2.5,0.9
 Korkmaz,8,10.9,1.9,3
 Krejci,2,1,1,0
 Kuminga,3,1.7,1,0.3
 Kuzma,9,14,9.6,1.8
 Lamb,7,10,2.3,0.7
 Landale,4,2.8,0.5,0.5
 Langford,6,6.2,2.2,0.7
 LaVine,8,25.8,5.5,4.4
 Layman,2,1,0.5,0
 Lee,7,13.1,3.1,1
 Lee,4,1.5,0.8,0.8
 Len,5,7.6,4.2,1.2
 LeVert,4,16,2.3,5
 Lewis Jr.,10,5.2,2,2.3
 Lillard,9,17.8,3.9,8.8
 Little,9,7.1,5.1,0.6
 Looney,8,5.5,5.3,0.8
 Lopez,1,8,5,0
 Lopez,5,4.4,2.4,0.6
 Louzada,2,0,1,0.5
 Love,7,9.9,7.3,2.3
 Lowry,7,10,4.6,7.1
 Luwawu-Cabarrot,4,1,0.8,0.5
 Lyles,9,8.1,4.3,1.2
 Maledon,8,2.5,2,1.4
 Mamukelashvili,7,2.7,1.3,0.3
 Mann,8,10.4,5.3,2.9
 Mann,5,4.8,1,0.2
 Marjanovic,4,7.3,2.5,0.3
 Markkanen,8,12.9,5.9,1.5
 Marshall,10,3.3,3.7,1.2
 Martin Jr.,7,6,2.6,0.9
 Martin,5,4,2.2,0.4
 Martin,10,9,4.3,2.2
 Martin,3,6.3,0,1.3
 Maxey,9,14.7,3.1,4.3
 Mays,4,3,0.3,0.3
 McBride,4,0,0,0
 McCollum,9,23.8,4.2,4
 McConnell,10,8.2,3,5.2
 McDaniels,8,5.8,1.9,1
 McDaniels,8,3.9,4.1,0.9
 McDermott,6,9.7,2,1
 McGee,7,10.1,6.3,0.1
 McGruder,5,0.6,0.6,0.4
 McLaughlin,1,0,0,1
 McLaughlin,8,2.5,1.3,2.4
 McLemore,2,5,0,0.5
 Melton,9,11.7,4.6,2.4
 Merrill,3,4.3,0.7,1
 Middleton,6,20,4.7,4.5
 Millsap,8,3.6,3.6,1
 Mills,9,10.3,2.1,3.1
 Milton,5,11.4,3.4,3.4
 Mitchell,9,10.6,2.2,3.7
 Mitchell,7,24.9,4.6,4.9
 Mobley,10,13.8,7.9,2.3
 Monk,9,6,1.6,1.8
 Moody,6,2.2,1.2,0.5
 Morant,9,25.2,5.6,7.1
 Morris Sr.,2,9.5,0.5,0.5
 Morris,8,7.9,2.8,1.3
 Morris,8,10.8,2.3,4
 Mulder,2,1.5,1,0.5
 Murphy III,10,5.5,2.5,1
 Murray,9,18.4,8.1,8.2
 Muscala,6,7.8,3.7,0.7
 Mykhailiuk,10,8.2,3.2,1.2
 Nader,6,2.3,1.5,0.3
 Nance Jr.,9,4.8,5.2,1.2
 Nembhard Jr.,1,2,0,1
 Nesmith,6,2.7,1.2,0.7
 Neto,8,9.1,2.9,3.3
 Niang,9,11.9,2.8,1.8
 Nnaji,2,4,2,0
 Noel,2,4,9.5,1
 Nowell,3,1.3,0.7,1.3
 Ntilikina,7,4.7,2,0.9
 Nurkic,9,11.1,11.3,2
 Nwaba,8,4.6,2.9,1
 Nwora,9,9.8,4,1.6
