ID,NAME,SCORE
10, Antetokounmpo,372
362, Sabonis,368
13, Anthony,360
343, Randle,360
118, Durant,356
416, Westbrook,347
293, Murray,345
20, Ball,343
160, Harden,340
401, Valanciunas,336
404, VanVleet,335
56, Bridges,332
287, Morant,327
100, Davis,321
384, Tatum,320
25, Barnes,304
211, Jokic,301
14, Anunoby,297
88, Collins,291
171, Hayward,291
39, Bey,289
99, Curry,289
110, Doncic,289
284, Mobley,287
139, George,285
77, Carter Jr.,283
27, Barrett,281
72, Butler,278
162, Harrell,278
132, Fox,274
121, Embiid,272
22, Bamba,267
397, Towns,267
182, Holmes,265
407, Vucevic,265
242, Lillard,264
266, McCollum,264
231, Kuzma,263
175, Herro,261
306, Nurkic,260
34, Beal,259
432, Young,259
119, Edwards,258
210, Johnson,258
106, DeRozan,256
235, LaVine,256
5, Alexander-Walker,254
117, Duarte,253
1, Adams,250
428, Wood,250
7, Allen,247
176, Hield,247
314, Olynyk,247
360, Rubio,245
364, Schroder,245
26, Barnes,244
109, Dinwiddie,243
67, Brunson,241
64, Brown,240
21, Ball,239
142, Gilgeous-Alexander,236
141, Giddey,235
157, Haliburton,235
146, Graham,232
276, Melton,232
417, White,228
149, Green,227
332, Porter Jr.,227
261, Martin,224
9, Anderson,223
28, Barton,223
333, Porter Jr.,222
147, Grant,221
383, Tate,221
400, Turner,221
263, Maxey,220
382, Suggs,220
45, Bogdanovic,219
200, Jackson,219
196, Jackson Jr.,217
254, Mann,217
23, Bane,216
328, Plumlee,216
0, Achiuwa,215
368, Sexton,214
73, Caldwell-Pope,213
90, Connaughton,212
409, Wagner,211
144, Gordon,207
405, Vassell,207
177, Hill,206
319, Oubre Jr.,205
143, Gobert,204
151, Green,204
267, McConnell,203
357, Rose,202
411, Walker IV,202
412, Walker,202
435, Zubac,202
6, Allen,201
33, Bazley,201
199, Jackson,201
257, Markkanen,201
308, Nwora,201
131, Fournier,199
367, Sengun,199
98, Curry,197
419, Wiggins,197
420, Williams III,196
40, Birch,193
42, Bjelica,191
373, Smart,191
49, Booker,190
43, Bledsoe,189
44, Bogdanovic,188
116, Drummond,188
159, Hardaway Jr.,188
354, Robinson,188
398, Trent Jr.,188
184, Horford,187
380, Stewart,187
222, Kennard,184
181, Holiday,183
194, Ingles,183
301, Niang,181
329, Poeltl,181
2, Adebayo,180
251, Lyles,180
283, Mitchell,180
85, Clarkson,179
164, Harris,177
70, Burks,175
300, Neto,175
158, Hampton,174
351, Robinson,174
12, Anthony,173
126, Finney-Smith,173
323, Paul,172
248, Love,171
249, Lowry,170
31, Batum,168
155, Griffin,168
316, O'Neale,166
